STATENAME,URL,WEBSITE,ACTIVITY LEVEL,ACTIVITY LEVEL LABEL,WEEKEND,WEEK,SEASON
Alabama,http://adph.org/influenza/,Influenza Surveillance,Level 1,Minimal,Dec-26-2020,52,2020-21
Alabama,http://adph.org/influenza/,Influenza Surveillance,Level 1,Minimal,Jan-02-2021,53,2020-21
Alabama,http://adph.org/influenza/,Influenza Surveillance,Level 1,Minimal,Jan-09-2021,1,2020-21
Alabama,http://adph.org/influenza/,Influenza Surveillance,Level 1,Minimal,Jan-16-2021,2,2020-21
Alabama,http://adph.org/influenza/,Influenza Surveillance,Level 1,Minimal,Jan-23-2021,3,2020-21
Alabama,http://adph.org/influenza/,Influenza Surveillance,Level 1,Minimal,Jan-30-2021,4,2020-21
Alabama,http://adph.org/influenza/,Influenza Surveillance,Level 1,Minimal,Feb-06-2021,5,2020-21
Alabama,http://adph.org/influenza/,Influenza Surveillance,Level 1,Minimal,Feb-13-2021,6,2020-21
Alabama,http://adph.org/influenza/,Influenza Surveillance,Level 1,Minimal,Feb-20-2021,7,2020-21
Alabama,http://adph.org/influenza/,Influenza Surveillance,Level 1,Minimal,Feb-27-2021,8,2020-21
Alabama,http://adph.org/influenza/,Influenza Surveillance,Level 1,Minimal,Mar-06-2021,9,2020-21
Alabama,http://adph.org/influenza/,Influenza Surveillance,Level 1,Minimal,Mar-13-2021,10,2020-21
Alabama,http://adph.org/influenza/,Influenza Surveillance,Level 1,Minimal,Mar-20-2021,11,2020-21
Alabama,http://adph.org/influenza/,Influenza Surveillance,Level 1,Minimal,Mar-27-2021,12,2020-21
Alabama,http://adph.org/influenza/,Influenza Surveillance,Level 1,Minimal,Apr-03-2021,13,2020-21
Alabama,http://adph.org/influenza/,Influenza Surveillance,Level 1,Minimal,Apr-10-2021,14,2020-21
Alabama,http://adph.org/influenza/,Influenza Surveillance,Level 1,Minimal,Apr-17-2021,15,2020-21
Alabama,http://adph.org/influenza/,Influenza Surveillance,Level 1,Minimal,Apr-24-2021,16,2020-21
Alabama,http://adph.org/influenza/,Influenza Surveillance,Level 1,Minimal,May-01-2021,17,2020-21
Alabama,http://adph.org/influenza/,Influenza Surveillance,Level 1,Minimal,May-08-2021,18,2020-21
Alabama,http://adph.org/influenza/,Influenza Surveillance,Level 1,Minimal,May-15-2021,19,2020-21
Alabama,http://adph.org/influenza/,Influenza Surveillance,Level 1,Minimal,May-22-2021,20,2020-21
Alabama,http://adph.org/influenza/,Influenza Surveillance,Level 1,Minimal,May-29-2021,21,2020-21
Alabama,http://adph.org/influenza/,Influenza Surveillance,Level 1,Minimal,Jun-05-2021,22,2020-21
Alabama,http://adph.org/influenza/,Influenza Surveillance,Level 1,Minimal,Jun-12-2021,23,2020-21
Alabama,http://adph.org/influenza/,Influenza Surveillance,Level 1,Minimal,Jun-19-2021,24,2020-21
Alabama,http://adph.org/influenza/,Influenza Surveillance,Level 1,Minimal,Jun-26-2021,25,2020-21
Alabama,http://adph.org/influenza/,Influenza Surveillance,Level 1,Minimal,Jul-03-2021,26,2020-21
Alabama,http://adph.org/influenza/,Influenza Surveillance,Level 1,Minimal,Jul-10-2021,27,2020-21
Alabama,http://adph.org/influenza/,Influenza Surveillance,Level 1,Minimal,Jul-17-2021,28,2020-21
Alabama,http://adph.org/influenza/,Influenza Surveillance,Level 1,Minimal,Jul-24-2021,29,2020-21
Alabama,http://adph.org/influenza/,Influenza Surveillance,Level 1,Minimal,Jul-31-2021,30,2020-21
Alabama,http://adph.org/influenza/,Influenza Surveillance,Level 2,Minimal,Aug-07-2021,31,2020-21
Alabama,http://adph.org/influenza/,Influenza Surveillance,Level 2,Minimal,Aug-14-2021,32,2020-21
Alabama,http://adph.org/influenza/,Influenza Surveillance,Level 3,Minimal,Aug-21-2021,33,2020-21
Alabama,http://adph.org/influenza/,Influenza Surveillance,Level 4,Low,Aug-28-2021,34,2020-21
Alabama,http://adph.org/influenza/,Influenza Surveillance,Level 3,Minimal,Sep-04-2021,35,2020-21
Alabama,http://adph.org/influenza/,Influenza Surveillance,Level 3,Minimal,Sep-11-2021,36,2020-21
Alabama,http://adph.org/influenza/,Influenza Surveillance,Level 1,Minimal,Sep-18-2021,37,2020-21
Alabama,http://adph.org/influenza/,Influenza Surveillance,Level 1,Minimal,Sep-25-2021,38,2020-21
Alabama,http://adph.org/influenza/,Influenza Surveillance,Level 1,Minimal,Oct-02-2021,39,2020-21
Alabama,http://adph.org/influenza/,Influenza Surveillance,Level 1,Minimal,Oct-09-2021,40,2021-22
Alabama,http://adph.org/influenza/,Influenza Surveillance,Level 1,Minimal,Oct-16-2021,41,2021-22
Alabama,http://adph.org/influenza/,Influenza Surveillance,Level 1,Minimal,Oct-23-2021,42,2021-22
Alabama,http://adph.org/influenza/,Influenza Surveillance,Level 1,Minimal,Oct-30-2021,43,2021-22
Alabama,http://adph.org/influenza/,Influenza Surveillance,Level 2,Minimal,Nov-06-2021,44,2021-22
Alabama,http://adph.org/influenza/,Influenza Surveillance,Level 3,Minimal,Nov-13-2021,45,2021-22
Alabama,http://adph.org/influenza/,Influenza Surveillance,Level 4,Low,Nov-20-2021,46,2021-22
Alabama,http://adph.org/influenza/,Influenza Surveillance,Level 4,Low,Nov-27-2021,47,2021-22
Alabama,http://adph.org/influenza/,Influenza Surveillance,Level 3,Minimal,Dec-04-2021,48,2021-22
Alabama,http://adph.org/influenza/,Influenza Surveillance,Level 5,Low,Dec-11-2021,49,2021-22
Alabama,http://adph.org/influenza/,Influenza Surveillance,Level 6,Moderate,Dec-18-2021,50,2021-22
Alabama,http://adph.org/influenza/,Influenza Surveillance,Level 8,High,Dec-25-2021,51,2021-22
Alabama,http://adph.org/influenza/,Influenza Surveillance,Level 10,High,Jan-01-2022,52,2021-22
Alabama,http://adph.org/influenza/,Influenza Surveillance,Level 9,High,Jan-08-2022,1,2021-22
Alabama,http://adph.org/influenza/,Influenza Surveillance,Level 8,High,Jan-15-2022,2,2021-22
Alabama,http://adph.org/influenza/,Influenza Surveillance,Level 6,Moderate,Jan-22-2022,3,2021-22
Alabama,http://adph.org/influenza/,Influenza Surveillance,Level 3,Minimal,Jan-29-2022,4,2021-22
Alabama,http://adph.org/influenza/,Influenza Surveillance,Level 2,Minimal,Feb-05-2022,5,2021-22
Alabama,http://adph.org/influenza/,Influenza Surveillance,Level 1,Minimal,Feb-12-2022,6,2021-22
Alabama,http://adph.org/influenza/,Influenza Surveillance,Level 1,Minimal,Feb-19-2022,7,2021-22
Alabama,http://adph.org/influenza/,Influenza Surveillance,Level 1,Minimal,Feb-26-2022,8,2021-22
Alabama,http://adph.org/influenza/,Influenza Surveillance,Level 1,Minimal,Mar-05-2022,9,2021-22
Alabama,http://adph.org/influenza/,Influenza Surveillance,Level 1,Minimal,Mar-12-2022,10,2021-22
Alabama,http://adph.org/influenza/,Influenza Surveillance,Level 1,Minimal,Oct-06-2012,40,2012-13
Alabama,http://adph.org/influenza/,Influenza Surveillance,Level 1,Minimal,Oct-13-2012,41,2012-13
Alabama,http://adph.org/influenza/,Influenza Surveillance,Level 1,Minimal,Oct-20-2012,42,2012-13
Alabama,http://adph.org/influenza/,Influenza Surveillance,Level 1,Minimal,Oct-27-2012,43,2012-13
Alabama,http://adph.org/influenza/,Influenza Surveillance,Level 1,Minimal,Nov-03-2012,44,2012-13
Alabama,http://adph.org/influenza/,Influenza Surveillance,Level 1,Minimal,Nov-10-2012,45,2012-13
Alabama,http://adph.org/influenza/,Influenza Surveillance,Level 4,Low,Nov-17-2012,46,2012-13
Alabama,http://adph.org/influenza/,Influenza Surveillance,Level 10,High,Nov-24-2012,47,2012-13
Alabama,http://adph.org/influenza/,Influenza Surveillance,Level 10,High,Dec-01-2012,48,2012-13
Alabama,http://adph.org/influenza/,Influenza Surveillance,Level 10,High,Dec-08-2012,49,2012-13
Alabama,http://adph.org/influenza/,Influenza Surveillance,Level 10,High,Dec-15-2012,50,2012-13
Alabama,http://adph.org/influenza/,Influenza Surveillance,Level 10,High,Dec-22-2012,51,2012-13
Alabama,http://adph.org/influenza/,Influenza Surveillance,Level 10,High,Dec-29-2012,52,2012-13
Alabama,http://adph.org/influenza/,Influenza Surveillance,Level 10,High,Jan-05-2013,1,2012-13
Alabama,http://adph.org/influenza/,Influenza Surveillance,Level 10,High,Jan-12-2013,2,2012-13
Alabama,http://adph.org/influenza/,Influenza Surveillance,Level 10,High,Jan-19-2013,3,2012-13
Alabama,http://adph.org/influenza/,Influenza Surveillance,Level 9,High,Jan-26-2013,4,2012-13
Alabama,http://adph.org/influenza/,Influenza Surveillance,Level 7,Moderate,Feb-02-2013,5,2012-13
Alabama,http://adph.org/influenza/,Influenza Surveillance,Level 5,Low,Feb-09-2013,6,2012-13
Alabama,http://adph.org/influenza/,Influenza Surveillance,Level 7,Moderate,Feb-16-2013,7,2012-13
Alabama,http://adph.org/influenza/,Influenza Surveillance,Level 4,Low,Feb-23-2013,8,2012-13
Alabama,http://adph.org/influenza/,Influenza Surveillance,Level 4,Low,Mar-02-2013,9,2012-13
Alabama,http://adph.org/influenza/,Influenza Surveillance,Level 4,Low,Mar-09-2013,10,2012-13
Alabama,http://adph.org/influenza/,Influenza Surveillance,Level 5,Low,Mar-16-2013,11,2012-13
Alabama,http://adph.org/influenza/,Influenza Surveillance,Level 5,Low,Mar-23-2013,12,2012-13
Alabama,http://adph.org/influenza/,Influenza Surveillance,Level 2,Minimal,Mar-30-2013,13,2012-13
Alabama,http://adph.org/influenza/,Influenza Surveillance,Level 1,Minimal,Apr-06-2013,14,2012-13
Alabama,http://adph.org/influenza/,Influenza Surveillance,Level 1,Minimal,Apr-13-2013,15,2012-13
Alabama,http://adph.org/influenza/,Influenza Surveillance,Level 1,Minimal,Apr-20-2013,16,2012-13
Alabama,http://adph.org/influenza/,Influenza Surveillance,Level 1,Minimal,Apr-27-2013,17,2012-13
Alabama,http://adph.org/influenza/,Influenza Surveillance,Level 1,Minimal,May-04-2013,18,2012-13
Alabama,http://adph.org/influenza/,Influenza Surveillance,Level 1,Minimal,May-11-2013,19,2012-13
Alabama,http://adph.org/influenza/,Influenza Surveillance,Level 1,Minimal,May-18-2013,20,2012-13
Alabama,http://adph.org/influenza/,Influenza Surveillance,Level 1,Minimal,May-25-2013,21,2012-13
Alabama,http://adph.org/influenza/,Influenza Surveillance,Level 1,Minimal,Jun-01-2013,22,2012-13
Alabama,http://adph.org/influenza/,Influenza Surveillance,Level 1,Minimal,Jun-08-2013,23,2012-13
Alabama,http://adph.org/influenza/,Influenza Surveillance,Level 1,Minimal,Jun-15-2013,24,2012-13
Alabama,http://adph.org/influenza/,Influenza Surveillance,Level 1,Minimal,Jun-22-2013,25,2012-13
Alabama,http://adph.org/influenza/,Influenza Surveillance,Level 1,Minimal,Jun-29-2013,26,2012-13
Alabama,http://adph.org/influenza/,Influenza Surveillance,Level 1,Minimal,Jul-06-2013,27,2012-13
Alabama,http://adph.org/influenza/,Influenza Surveillance,Level 1,Minimal,Jul-13-2013,28,2012-13
Alabama,http://adph.org/influenza/,Influenza Surveillance,Level 1,Minimal,Jul-20-2013,29,2012-13
Alabama,http://adph.org/influenza/,Influenza Surveillance,Level 1,Minimal,Jul-27-2013,30,2012-13
Alabama,http://adph.org/influenza/,Influenza Surveillance,Level 1,Minimal,Aug-03-2013,31,2012-13
Alabama,http://adph.org/influenza/,Influenza Surveillance,Level 1,Minimal,Aug-10-2013,32,2012-13
Alabama,http://adph.org/influenza/,Influenza Surveillance,Level 1,Minimal,Aug-17-2013,33,2012-13
Alabama,http://adph.org/influenza/,Influenza Surveillance,Level 1,Minimal,Aug-24-2013,34,2012-13
Alabama,http://adph.org/influenza/,Influenza Surveillance,Level 1,Minimal,Aug-31-2013,35,2012-13
Alabama,http://adph.org/influenza/,Influenza Surveillance,Level 1,Minimal,Sep-07-2013,36,2012-13
Alabama,http://adph.org/influenza/,Influenza Surveillance,Level 1,Minimal,Sep-14-2013,37,2012-13
Alabama,http://adph.org/influenza/,Influenza Surveillance,Level 1,Minimal,Sep-21-2013,38,2012-13
Alabama,http://adph.org/influenza/,Influenza Surveillance,Level 1,Minimal,Sep-28-2013,39,2012-13
Alabama,http://adph.org/influenza/,Influenza Surveillance,Level 1,Minimal,Oct-05-2013,40,2013-14
Alabama,http://adph.org/influenza/,Influenza Surveillance,Level 1,Minimal,Oct-12-2013,41,2013-14
Alabama,http://adph.org/influenza/,Influenza Surveillance,Level 1,Minimal,Oct-19-2013,42,2013-14
Alabama,http://adph.org/influenza/,Influenza Surveillance,Level 4,Low,Oct-26-2013,43,2013-14
Alabama,http://adph.org/influenza/,Influenza Surveillance,Level 3,Minimal,Nov-02-2013,44,2013-14
Alabama,http://adph.org/influenza/,Influenza Surveillance,Level 5,Low,Nov-09-2013,45,2013-14
Alabama,http://adph.org/influenza/,Influenza Surveillance,Level 5,Low,Nov-16-2013,46,2013-14
Alabama,http://adph.org/influenza/,Influenza Surveillance,Level 6,Moderate,Nov-23-2013,47,2013-14
Alabama,http://adph.org/influenza/,Influenza Surveillance,Level 7,Moderate,Nov-30-2013,48,2013-14
Alabama,http://adph.org/influenza/,Influenza Surveillance,Level 10,High,Dec-07-2013,49,2013-14
Alabama,http://adph.org/influenza/,Influenza Surveillance,Level 10,High,Dec-14-2013,50,2013-14
Alabama,http://adph.org/influenza/,Influenza Surveillance,Level 10,High,Dec-21-2013,51,2013-14
Alabama,http://adph.org/influenza/,Influenza Surveillance,Level 10,High,Dec-28-2013,52,2013-14
Alabama,http://adph.org/influenza/,Influenza Surveillance,Level 10,High,Jan-04-2014,1,2013-14
Alabama,http://adph.org/influenza/,Influenza Surveillance,Level 10,High,Jan-11-2014,2,2013-14
Alabama,http://adph.org/influenza/,Influenza Surveillance,Level 6,Moderate,Jan-18-2014,3,2013-14
Alabama,http://adph.org/influenza/,Influenza Surveillance,Level 9,High,Jan-25-2014,4,2013-14
Alabama,http://adph.org/influenza/,Influenza Surveillance,Level 8,High,Feb-01-2014,5,2013-14
Alabama,http://adph.org/influenza/,Influenza Surveillance,Level 5,Low,Feb-08-2014,6,2013-14
Alabama,http://adph.org/influenza/,Influenza Surveillance,Level 3,Minimal,Feb-15-2014,7,2013-14
Alabama,http://adph.org/influenza/,Influenza Surveillance,Level 1,Minimal,Feb-22-2014,8,2013-14
Alabama,http://adph.org/influenza/,Influenza Surveillance,Level 1,Minimal,Mar-01-2014,9,2013-14
Alabama,http://adph.org/influenza/,Influenza Surveillance,Level 1,Minimal,Mar-08-2014,10,2013-14
Alabama,http://adph.org/influenza/,Influenza Surveillance,Level 1,Minimal,Mar-15-2014,11,2013-14
Alabama,http://adph.org/influenza/,Influenza Surveillance,Level 1,Minimal,Mar-22-2014,12,2013-14
Alabama,http://adph.org/influenza/,Influenza Surveillance,Level 1,Minimal,Mar-29-2014,13,2013-14
Alabama,http://adph.org/influenza/,Influenza Surveillance,Level 1,Minimal,Apr-05-2014,14,2013-14
Alabama,http://adph.org/influenza/,Influenza Surveillance,Level 1,Minimal,Apr-12-2014,15,2013-14
Alabama,http://adph.org/influenza/,Influenza Surveillance,Level 1,Minimal,Apr-19-2014,16,2013-14
Alabama,http://adph.org/influenza/,Influenza Surveillance,Level 1,Minimal,Apr-26-2014,17,2013-14
Alabama,http://adph.org/influenza/,Influenza Surveillance,Level 1,Minimal,May-03-2014,18,2013-14
Alabama,http://adph.org/influenza/,Influenza Surveillance,Level 1,Minimal,May-10-2014,19,2013-14
Alabama,http://adph.org/influenza/,Influenza Surveillance,Level 1,Minimal,May-17-2014,20,2013-14
Alabama,http://adph.org/influenza/,Influenza Surveillance,Level 1,Minimal,May-24-2014,21,2013-14
Alabama,http://adph.org/influenza/,Influenza Surveillance,Level 1,Minimal,May-31-2014,22,2013-14
Alabama,http://adph.org/influenza/,Influenza Surveillance,Level 1,Minimal,Jun-07-2014,23,2013-14
Alabama,http://adph.org/influenza/,Influenza Surveillance,Level 1,Minimal,Jun-14-2014,24,2013-14
Alabama,http://adph.org/influenza/,Influenza Surveillance,Level 1,Minimal,Jun-21-2014,25,2013-14
Alabama,http://adph.org/influenza/,Influenza Surveillance,Level 1,Minimal,Jun-28-2014,26,2013-14
Alabama,http://adph.org/influenza/,Influenza Surveillance,Level 1,Minimal,Jul-05-2014,27,2013-14
Alabama,http://adph.org/influenza/,Influenza Surveillance,Level 1,Minimal,Jul-12-2014,28,2013-14
Alabama,http://adph.org/influenza/,Influenza Surveillance,Level 1,Minimal,Jul-19-2014,29,2013-14
Alabama,http://adph.org/influenza/,Influenza Surveillance,Level 1,Minimal,Jul-26-2014,30,2013-14
Alabama,http://adph.org/influenza/,Influenza Surveillance,Level 1,Minimal,Aug-02-2014,31,2013-14
Alabama,http://adph.org/influenza/,Influenza Surveillance,Level 1,Minimal,Aug-09-2014,32,2013-14
Alabama,http://adph.org/influenza/,Influenza Surveillance,Level 1,Minimal,Aug-16-2014,33,2013-14
Alabama,http://adph.org/influenza/,Influenza Surveillance,Level 1,Minimal,Aug-23-2014,34,2013-14
Alabama,http://adph.org/influenza/,Influenza Surveillance,Level 1,Minimal,Aug-30-2014,35,2013-14
Alabama,http://adph.org/influenza/,Influenza Surveillance,Level 1,Minimal,Sep-06-2014,36,2013-14
Alabama,http://adph.org/influenza/,Influenza Surveillance,Level 1,Minimal,Sep-13-2014,37,2013-14
Alabama,http://adph.org/influenza/,Influenza Surveillance,Level 1,Minimal,Sep-20-2014,38,2013-14
Alabama,http://adph.org/influenza/,Influenza Surveillance,Level 1,Minimal,Sep-27-2014,39,2013-14
Alabama,http://adph.org/influenza/,Influenza Surveillance,Level 1,Minimal,Oct-04-2014,40,2014-15
Alabama,http://adph.org/influenza/,Influenza Surveillance,Level 1,Minimal,Oct-11-2014,41,2014-15
Alabama,http://adph.org/influenza/,Influenza Surveillance,Level 1,Minimal,Oct-18-2014,42,2014-15
Alabama,http://adph.org/influenza/,Influenza Surveillance,Level 1,Minimal,Oct-25-2014,43,2014-15
Alabama,http://adph.org/influenza/,Influenza Surveillance,Level 1,Minimal,Nov-01-2014,44,2014-15
Alabama,http://adph.org/influenza/,Influenza Surveillance,Level 1,Minimal,Nov-08-2014,45,2014-15
Alabama,http://adph.org/influenza/,Influenza Surveillance,Level 5,Low,Nov-15-2014,46,2014-15
Alabama,http://adph.org/influenza/,Influenza Surveillance,Level 10,High,Nov-22-2014,47,2014-15
Alabama,http://adph.org/influenza/,Influenza Surveillance,Level 10,High,Nov-29-2014,48,2014-15
Alabama,http://adph.org/influenza/,Influenza Surveillance,Level 9,High,Dec-06-2014,49,2014-15
Alabama,http://adph.org/influenza/,Influenza Surveillance,Level 10,High,Dec-13-2014,50,2014-15
Alabama,http://adph.org/influenza/,Influenza Surveillance,Level 10,High,Dec-20-2014,51,2014-15
Alabama,http://adph.org/influenza/,Influenza Surveillance,Level 10,High,Dec-27-2014,52,2014-15
Alabama,http://adph.org/influenza/,Influenza Surveillance,Level 10,High,Jan-03-2015,53,2014-15
Alabama,http://adph.org/influenza/,Influenza Surveillance,Level 9,High,Jan-10-2015,1,2014-15
Alabama,http://adph.org/influenza/,Influenza Surveillance,Level 10,High,Jan-17-2015,2,2014-15
Alabama,http://adph.org/influenza/,Influenza Surveillance,Level 10,High,Jan-24-2015,3,2014-15
Alabama,http://adph.org/influenza/,Influenza Surveillance,Level 10,High,Jan-31-2015,4,2014-15
Alabama,http://adph.org/influenza/,Influenza Surveillance,Level 6,Moderate,Feb-07-2015,5,2014-15
Alabama,http://adph.org/influenza/,Influenza Surveillance,Level 9,High,Feb-14-2015,6,2014-15
Alabama,http://adph.org/influenza/,Influenza Surveillance,Level 10,High,Feb-21-2015,7,2014-15
Alabama,http://adph.org/influenza/,Influenza Surveillance,Level 8,High,Feb-28-2015,8,2014-15
Alabama,http://adph.org/influenza/,Influenza Surveillance,Level 9,High,Mar-07-2015,9,2014-15
Alabama,http://adph.org/influenza/,Influenza Surveillance,Level 6,Moderate,Mar-14-2015,10,2014-15
Alabama,http://adph.org/influenza/,Influenza Surveillance,Level 4,Low,Mar-21-2015,11,2014-15
Alabama,http://adph.org/influenza/,Influenza Surveillance,Level 1,Minimal,Mar-28-2015,12,2014-15
Alabama,http://adph.org/influenza/,Influenza Surveillance,Level 1,Minimal,Apr-04-2015,13,2014-15
Alabama,http://adph.org/influenza/,Influenza Surveillance,Level 1,Minimal,Apr-11-2015,14,2014-15
Alabama,http://adph.org/influenza/,Influenza Surveillance,Level 1,Minimal,Apr-18-2015,15,2014-15
Alabama,http://adph.org/influenza/,Influenza Surveillance,Level 1,Minimal,Apr-25-2015,16,2014-15
Alabama,http://adph.org/influenza/,Influenza Surveillance,Level 1,Minimal,May-02-2015,17,2014-15
Alabama,http://adph.org/influenza/,Influenza Surveillance,Level 1,Minimal,May-09-2015,18,2014-15
Alabama,http://adph.org/influenza/,Influenza Surveillance,Level 1,Minimal,May-16-2015,19,2014-15
Alabama,http://adph.org/influenza/,Influenza Surveillance,Level 1,Minimal,May-23-2015,20,2014-15
Alabama,http://adph.org/influenza/,Influenza Surveillance,Level 1,Minimal,May-30-2015,21,2014-15
Alabama,http://adph.org/influenza/,Influenza Surveillance,Level 1,Minimal,Jun-06-2015,22,2014-15
Alabama,http://adph.org/influenza/,Influenza Surveillance,Level 1,Minimal,Jun-13-2015,23,2014-15
Alabama,http://adph.org/influenza/,Influenza Surveillance,Level 1,Minimal,Jun-20-2015,24,2014-15
Alabama,http://adph.org/influenza/,Influenza Surveillance,Level 1,Minimal,Jun-27-2015,25,2014-15
Alabama,http://adph.org/influenza/,Influenza Surveillance,Level 1,Minimal,Jul-04-2015,26,2014-15
Alabama,http://adph.org/influenza/,Influenza Surveillance,Level 1,Minimal,Jul-11-2015,27,2014-15
Alabama,http://adph.org/influenza/,Influenza Surveillance,Level 1,Minimal,Jul-18-2015,28,2014-15
Alabama,http://adph.org/influenza/,Influenza Surveillance,Level 1,Minimal,Jul-25-2015,29,2014-15
Alabama,http://adph.org/influenza/,Influenza Surveillance,Level 1,Minimal,Aug-01-2015,30,2014-15
Alabama,http://adph.org/influenza/,Influenza Surveillance,Level 1,Minimal,Aug-08-2015,31,2014-15
Alabama,http://adph.org/influenza/,Influenza Surveillance,Level 1,Minimal,Aug-15-2015,32,2014-15
Alabama,http://adph.org/influenza/,Influenza Surveillance,Level 1,Minimal,Aug-22-2015,33,2014-15
Alabama,http://adph.org/influenza/,Influenza Surveillance,Level 1,Minimal,Aug-29-2015,34,2014-15
Alabama,http://adph.org/influenza/,Influenza Surveillance,Level 1,Minimal,Sep-05-2015,35,2014-15
Alabama,http://adph.org/influenza/,Influenza Surveillance,Level 1,Minimal,Sep-12-2015,36,2014-15
Alabama,http://adph.org/influenza/,Influenza Surveillance,Level 1,Minimal,Sep-19-2015,37,2014-15
